Language,Q4,Q24,Q23,Q18,Q5,Q11,Q8,Q17_1,Q17_2,Q17_3,Q17_4,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q20
EN,Puerto Rico,Female,25-30,1,2,Trump,1,5.5,5.2,5.5,2.9,5.6,4.9,6.2,5.2,5.1,5.7,6.4
EN,NA,Female,31-40,1,5,Did Not Vote,0,1,1,6.9,6.8,6.7,6.7,6.8,6.9,7,5.6,5.5
EN,Colombia,Female,31-40,0,1,Did Not Vote,1,5,4.1,5,4.4,NA,NA,NA,NA,NA,NA,6.1
EN,Puerto Rico,Female,41-50,1,3,Clinton,1,1,5.8,5.9,4.4,4.4,5.9,5.9,5.9,5.2,1.7,5.6
EN,USA,Female,31-40,1,4,Clinton,1,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA
EN,USA,Male,31-40,1,1,Did Not Vote,1,4.8,4.8,4.8,4.8,5,5,5,5,5.1,5.1,4.9
EN,NA,Female,31-40,1,5,Clinton,1,1,1,7,6,2.6,7,4.8,1,5.7,5.2,7
EN,USA,Female,25-30,0,4,Did Not Vote,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1
EN,USA,Female,61+,1,5,Clinton,1,5,1,NA,5.7,3.2,3.3,3.4,3.1,3.1,2.9,6.8
EN,USA,Female,18-24,1,1,Did Not Vote,0,7,6.5,5.4,5.9,5.7,5.9,4.5,5.5,6.6,2.9,4
EN,USA,Female,31-40,1,2,Other,0,5.9,6.1,6.1,5.5,5.5,7,5.9,6.3,6.4,6.3,6.4
EN,USA,Male,41-50,0,5,Did Not Vote,1,1,1,1,1,NA,NA,NA,NA,NA,NA,4.5
EN,USA,Male,25-30,1,3,Trump,1,7,7,6.8,7,7,7,1,7,7,7,7
EN,NA,Female,18-24,1,1,Other,0,6.8,6.7,6.7,6.4,5.7,7,6.8,7,5.5,6.5,7
EN,NA,Female,18-24,1,2,Clinton,0,7,5.5,7,NA,5.5,6,3,4.5,2,1,7
EN,USA,Female,51-60,0,3,Clinton,0,1,1,7,7,NA,NA,NA,NA,NA,NA,7
EN,USA,Female,41-50,0,5,Clinton,1,1,1,6,5,NA,NA,NA,NA,NA,NA,4
EN,Other,Female,51-60,0,5,Clinton,0,1.8,7,7,6.3,NA,NA,NA,NA,NA,NA,7
EN,USA,Male,31-40,1,5,Clinton,1,2.1,1.1,4.3,4.1,5.8,6,6.1,6.1,7,6.1,6.8
ES,Argentina,Male,25-30,1,2,Trump,0,1.5,1.5,1.5,1.9,1.7,1.6,1.5,1.4,1.6,1.7,1.9
EN,Colombia,Female,41-50,0,1,Did Not Vote,1,1,4,5,4.2,NA,NA,NA,NA,NA,NA,6
EN,NA,Male,61+,0,5,Other,1,1,1,1,7,NA,NA,NA,NA,NA,NA,1
ES,25,Male,18-24,1,1,Trump,0,1,7,6.4,7,5.7,4.7,1,4.5,1.9,1.2,5.7
EN,USA,Male,25-30,0,4,Did Not Vote,0,1,6,7,2.4,NA,NA,NA,NA,NA,NA,4
EN,USA,Female,25-30,1,4,Clinton,0,4.9,3.6,3.5,4.8,4.9,3.7,4.9,3.7,4.4,5,3.6
